poi_type_id,building,unit_of_measure,trip_purpose,production_rate1,attraction_rate1,production_notes,attraction_notes
0,,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
1,house,"1,000 Sq. Ft. GFA",1,0.1,0.44,1,1
2,police,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
3,bicycle_parking,"1,000 Sq. Ft. GFA",1,0.43,0.1,1,1
4,shelter,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
5,legislative,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
6,townhall,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
7,marketplace,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
8,driver_training,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
9,conference_centre,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
10,hotel,"1,000 Sq. Ft. GFA",1,0.1,0.6,1,1
11,office,"1,000 Sq. Ft. GFA",1,1.15,0.1,1,1
12,monastery,"1,000 Sq. Ft. GFA",1,4.22,0.1,1,1
13,retail,"1,000 Sq. Ft. GFA",1,6.84,0.1,1,1
14,theatre,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
15,residential,"1,000 Sq. Ft. GFA",1,0.1,0.36,1,1
16,supermarket,"1,000 Sq. Ft. GFA",1,9.24,0.1,1,1
17,commercial,"1,000 Sq. Ft. GFA",1,0.63,0.1,1,1
18,place_of_worship,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
19,fire_station,"1,000 Sq. Ft. GFA",1,0.48,0.1,1,1
20,train_station,"1,000 Sq. Ft. GFA",1,1.72,0.1,1,1
21,cinema,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
22,grave_yard,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
23,driving_school,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
24,industrial,"1,000 Sq. Ft. GFA",1,0.63,0.1,1,1
25,temple,"1,000 Sq. Ft. GFA",1,4.22,0.1,1,1
26,public_building,"1,000 Sq. Ft. GFA",1,0.11,0.1,1,1
27,food_court,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
28,research_institute,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
29,dam,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
30,fountain,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
31,bus_station,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
32,apartments,"1,000 Sq. Ft. GFA",1,0.1,0.36,1,1
33,college,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,1
34,construction,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
35,restaurant,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
36,sports_hall,"1,000 Sq. Ft. GFA",1,0.1,3.45,1,1
37,fuel,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
38,warehouse,"1,000 Sq. Ft. GFA",1,0.19,0.1,1,1
39,kindergarten,"1,000 Sq. Ft. GFA",1,11.12,0.1,1,1
40,bank,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
41,library,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,1
42,stadium,"1,000 Sq. Ft. GFA",1,0.1,0.15,1,1
43,yes,"1,000 Sq. Ft. GFA",1,1.0,1.0,1,1
44,hospital,"1,000 Sq. Ft. GFA",1,0.97,0.1,1,1
45,clinic,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
46,parking,"1,000 Sq. Ft. GFA",1,0.43,0.1,1,1
47,university,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,1
48,school,"1,000 Sq. Ft. GFA",1,1.37,0.1,1,1
49,parking_space,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
